,State,Voting Affiliation 2008,Republican Votes 2008,Democrat Votes 2008,Total Votes 2008,Republican Vote Percentage 2008,Democrat Vote Percentage 2008
0,Alabama,Hard Right,1266546,813479,2099819,60.32,38.74
1,Alaska,Middle Right,193841,123594,326197,59.42,37.89
2,Arizona,Middle Right,1230111,1034707,2293475,53.64,45.12
3,Arkansas,Middle Right,638017,422310,1086617,58.72,38.86
4,California,Hard Left,5011781,8274473,13561900,36.95,61.01
5,Colorado,Middle Left,1073589,1288576,2401361,44.71,53.66
6,Connecticut,Hard Left,629428,997772,1646792,38.22,60.59
7,Delaware,Hard Left,152374,255459,412412,36.95,61.94
8,District of Columbia,Hard Left,17367,245800,265853,6.53,92.46
9,Florida,Middle Left,4045624,4282074,8390744,48.22,51.03
10,Georgia,Middle Right,2048759,1844123,3924486,52.2,46.99
11,Hawaii,Hard Left,120566,325871,456064,26.44,71.45
12,Idaho,Hard Right,403012,236440,655122,61.52,36.09
13,Illinois,Hard Left,2031179,3419348,5522371,36.78,61.92
14,Indiana,Middle Left,1345648,1374039,2751054,48.91,49.95
15,Iowa,Middle Left,682379,828940,1537123,44.39,53.93
16,Kansas,Middle Right,699655,514765,1235872,56.61,41.65
17,Kentucky,Middle Right,1048462,751985,1826620,57.4,41.17
18,Louisiana,Middle Right,1148275,782989,1960761,58.56,39.93
19,Maine,Middle Left,295273,421923,731163,40.38,57.71
20,Maryland,Hard Left,959862,1629467,2631596,36.47,61.92
21,Massachusetts,Hard Left,1108854,1904097,3102995,35.73,61.36
22,Michigan,Middle Left,2048639,2872579,5001596,40.96,57.43
23,Minnesota,Middle Left,1275409,1573354,2910369,43.82,54.06
24,Mississippi,Middle Right,724597,554662,1289865,56.18,43.0
25,Missouri,Middle Right,1445814,1441911,2925205,49.43,49.29
26,Montana,Middle Right,242763,231667,490109,49.53,47.27
27,Nebraska,Middle Right,452979,333319,801281,56.53,41.6
28,Nevada,Middle Left,412827,533736,967848,42.65,55.15
29,New Hampshire,Middle Left,316534,384826,710970,44.52,54.13
30,New Jersey,Middle Left,1613207,2215422,3868237,41.7,57.27
31,New Mexico,Middle Left,346832,472422,830158,41.78,56.91
32,New York,Hard Left,2418323,4645332,7722019,31.32,60.16
33,North Carolina,Middle Left,2128474,2142651,4310851,49.37,49.7
34,North Dakota,Middle Right,168601,141278,316621,53.25,44.62
35,Ohio,Middle Left,2677820,2940044,5708350,46.91,51.5
36,Oklahoma,Hard Right,960165,502496,1462661,65.65,34.35
37,Oregon,Middle Left,738475,1037291,1827864,40.4,56.75
38,Pennsylvania,Middle Left,2655885,3276363,6013272,44.17,54.49
39,Rhode Island,Hard Left,165391,296571,471766,35.06,62.86
40,South Carolina,Middle Right,1034896,862449,1920969,53.87,44.9
41,South Dakota,Middle Right,203054,170924,381975,53.16,44.75
42,Tennessee,Middle Right,1479178,1087437,2599749,56.9,41.83
43,Texas,Middle Right,4479328,3528633,8077795,55.45,43.68
44,Utah,Hard Right,596030,327670,952370,62.58,34.41
45,Vermont,Hard Left,98974,219262,325046,30.45,67.46
46,Virginia,Middle Left,1725005,1959532,3723260,46.33,52.63
47,Washington,Middle Left,1229216,1750848,3036878,40.48,57.65
48,West Virginia,Middle Right,397466,303857,713451,55.71,42.59
49,Wisconsin,Middle Left,1262393,1677211,2983417,42.31,56.22
50,Wyoming,Hard Right,164958,82868,254904,64.71,32.51
