State,Gini Index
Alabama,0.471
Alaska,0.402
Arizona,0.451
Arkansas,0.461
California,0.467
Colorado,0.453
Connecticut,0.48
Delaware,0.434
District of Columbia,0.532
Florida,0.469
Georgia,0.469
Hawaii,0.425
Idaho,0.421
Illinois,0.469
Indiana,0.434
Iowa,0.431
Kansas,0.444
Kentucky,0.464
Louisiana,0.473
Maine,0.432
Maryland,0.448
Massachusetts,0.468
Michigan,0.453
Minnesota,0.439
Mississippi,0.47
Missouri,0.45
Montana,0.431
Nebraska,0.44
Nevada,0.433
New Hampshire,0.431
New Jersey,0.465
New Mexico,0.453
New York,0.502
North Carolina,0.464
North Dakota,0.45
Ohio,0.453
Oklahoma,0.46
Oregon,0.443
Pennsylvania,0.46
Rhode Island,0.457
South Carolina,0.462
South Dakota,0.452
Tennessee,0.467
Texas,0.474
Utah,0.414
Vermont,0.428
Virginia,0.456
Washington,0.439
West Virginia,0.463
Wisconsin,0.432
Wyoming,0.415
Puerto Rico,0.532
