,State,Total Population,Median Household Income,Per Capita Income,Unemployment Rate,Poverty Rate,Share of Population with HS Diploma,Gini Index,Hate Crimes Committed,"Hate Crime Rate per 100,000 Population",total_crimes_2009,share_per_state_2009
0,New Jersey,8793888.0,71637.0,35928.0,9.488354652424546,9.67216093723277,0.819231720940726,0.465,549.0,6.242972391733895,6612.0,8.303085299455535
1,District of Columbia,605759.0,64267.0,45004.0,10.410045688342288,17.43366586381713,0.8879339803453189,0.532,37.0,6.108039665939755,6612.0,0.559588626739262
2,Connecticut,3572213.0,69519.0,37807.0,9.116629926058778,9.647129104563474,0.8322101733575238,0.48,200.0,5.5987702860943624,6612.0,3.0248033877797944
3,South Dakota,815871.0,49091.0,25570.0,4.909060041876521,13.276486111162182,0.8207523003023762,0.452,42.0,5.147872641630846,6612.0,0.6352087114337568
4,Massachusetts,6560595.0,66658.0,35485.0,8.453432589191095,10.64363826756567,0.8433510984903047,0.46799999999999997,317.0,4.831878815869597,6612.0,4.794313369630974
5,Kansas,2851183.0,51273.0,26845.0,6.638647025175404,12.824711707386022,0.8482289632057991,0.444,122.0,4.278925624907275,6612.0,1.8451300665456745
6,Nebraska,1827306.0,51381.0,26523.0,5.543888455917203,12.052934757506405,0.8363716859683052,0.44,78.0,4.268578990054211,6612.0,1.17967332123412
7,Colorado,5042853.0,58244.0,31039.0,7.9437887630625585,12.569829023372286,0.8775784263392171,0.45299999999999996,208.0,4.124649280873347,6612.0,3.145795523290986
8,Delaware,900131.0,60119.0,29733.0,8.306159829705535,11.182261248640476,0.8104720312932229,0.434,37.0,4.110512803136432,6612.0,0.559588626739262
9,Vermont,625498.0,54168.0,28846.0,6.527424813957994,11.096917975756917,0.8102471950349961,0.428,24.0,3.836942724037487,6612.0,0.3629764065335753
10,Maine,1329084.0,48219.0,26464.0,7.408771062771627,12.914458378853405,0.7945931182679199,0.43200000000000005,50.0,3.761989460410328,6612.0,0.7562008469449486
11,Kentucky,4340167.0,42610.0,23210.0,9.39333107763387,18.005873967522447,0.8190744734015996,0.46399999999999997,153.0,3.5252099746392247,6612.0,2.3139745916515424
12,Arizona,6410979.0,50256.0,25571.0,9.711095785787391,16.76789145620349,0.8677272223165916,0.451,219.0,3.4160149331326775,6612.0,3.3121597096188746
13,Oregon,3836628.0,50036.0,26702.0,10.749609751237172,15.223237697269582,0.8611611550559501,0.44299999999999995,131.0,3.414456653081821,6612.0,1.9812462189957654
14,Rhode Island,1052471.0,56102.0,30005.0,9.476793248945148,12.680824459771339,0.8452527433059913,0.457,35.0,3.3255073061395515,6612.0,0.5293405928614641
15,New York,19398125.0,57683.0,32104.0,8.723822634159532,14.508665141605182,0.8406830041563296,0.502,641.0,3.3044430840609595,6612.0,9.69449485783424
16,Michigan,9897264.0,48471.0,25547.0,12.574643211685878,15.98443771935355,0.8221287216345851,0.45299999999999996,315.0,3.182697763745617,6612.0,4.764065335753176
17,Washington,6738714.0,59374.0,30661.0,8.800429643462559,12.67244759163247,0.8678905203574451,0.439,208.0,3.086642347486479,6612.0,3.145795523290986
18,Minnesota,5313081.0,59126.0,30656.0,7.019976591280303,10.960401318933402,0.8406131959968237,0.439,153.0,2.879685064089932,6612.0,2.3139745916515424
19,Montana,990785.0,45456.0,25002.0,6.869843896178201,14.445010774285036,0.8278132995554031,0.431,28.0,2.826041976816363,6612.0,0.42347247428917123
20,California,37325068.0,61400.0,29551.0,10.942018952230294,14.976797898934839,0.8804756363739243,0.467,1018.0,2.7273895388482616,6612.0,15.396249243799154
21,Tennessee,6353226.0,44140.0,24294.0,9.70896500988434,16.82636506241081,0.8195094901393403,0.467,171.0,2.69154599568786,6612.0,2.586206896551724
22,Ohio,11533561.0,48246.0,25857.0,9.679727139637553,14.943216583325826,0.791617957368067,0.45299999999999996,303.0,2.6271157710961948,6612.0,4.582577132486389
23,Arkansas,2916372.0,40531.0,22007.0,8.521134379554042,18.183859946536312,0.8082175387776319,0.461,75.0,2.571688385432311,6612.0,1.134301270417423
24,South Carolina,4630351.0,44623.0,23906.0,10.911140645780266,17.013569813605923,0.8273837123794718,0.462,109.0,2.3540332039622913,6612.0,1.648517846339988
25,Idaho,1567803.0,47015.0,22581.0,8.50531378561956,14.772519251462079,0.8555092699784348,0.42100000000000004,35.0,2.232423333798953,6612.0,0.5293405928614641
26,Missouri,5982413.0,47333.0,25546.0,8.47571965936994,14.526512963916066,0.819898091288582,0.45,125.0,2.0894578826303034,6612.0,1.8905021173623713
27,North Dakota,676253.0,51641.0,28700.0,3.3175058537311175,11.671667260625831,0.8453522572173432,0.45,14.0,2.0702311117288943,6612.0,0.21173623714458562
28,New Hampshire,1317474.0,64925.0,32758.0,6.564340627641448,8.182324660676416,0.8256709430318928,0.431,25.0,1.8975706541457364,6612.0,0.3781004234724743
29,Virginia,8014955.0,63636.0,33326.0,6.710931681521052,10.717864292438323,0.8562336282611693,0.456,150.0,1.8715014619545587,6612.0,2.268602540834846
30,Nevada,2704204.0,54083.0,27003.0,11.766053391818572,14.022499781821194,0.8343013322959363,0.433,48.0,1.7750140152148284,6612.0,0.7259528130671506
31,Utah,2766233.0,58164.0,23794.0,7.053086712096895,11.913819262513316,0.8796753563420001,0.414,49.0,1.7713619930063738,6612.0,0.7410768300060496
32,Maryland,5785496.0,72999.0,36056.0,7.711711035886087,9.197413670323167,0.8458559127860429,0.44799999999999995,102.0,1.7630294792356611,6612.0,1.5426497277676952
33,Oklahoma,3749005.0,44891.0,24046.0,6.6860257487423045,16.0735448472328,0.8263133818173088,0.46,60.0,1.6004246460060736,6612.0,0.9074410163339384
34,Wyoming,562803.0,56573.0,28858.0,5.055576525100546,10.773929776493729,0.8351607933859628,0.415,8.0,1.4214565309708727,6612.0,0.12099213551119178
35,West Virginia,1850481.0,40400.0,22482.0,7.868986778071974,17.105066196302474,0.7601056157831396,0.46299999999999997,25.0,1.3510000913276061,6612.0,0.3781004234724743
36,Alaska,711139.0,69917.0,32537.0,8.045602605863191,9.369616910336799,0.8611171655611631,0.402,9.0,1.2655753657161257,6612.0,0.13611615245009073
37,North Carolina,9544249.0,46450.0,25285.0,10.296894846430916,16.3812155361831,0.8483219580712951,0.46399999999999997,103.0,1.0791839148370919,6612.0,1.557773744706594
38,Illinois,12823860.0,56853.0,29519.0,9.879365640591574,13.33814467718768,0.8438619885120393,0.469,129.0,1.005937369871474,6612.0,1.9509981851179674
39,Wisconsin,5687219.0,52627.0,27426.0,7.4565037818648445,12.14709684997184,0.8021709731944558,0.43200000000000005,54.0,0.94949746088554,6612.0,0.8166969147005444
40,Indiana,6485530.0,48374.0,24558.0,9.394886614694036,14.295254204359551,0.8013920219319007,0.434,55.0,0.8480417174849242,6612.0,0.8318209316394435
41,New Mexico,2055287.0,44886.0,23749.0,9.010339734121123,19.128180151969044,0.8573187102336559,0.45299999999999996,15.0,0.7298250803902326,6612.0,0.2268602540834846
42,Florida,18885152.0,47309.0,26451.0,11.25481980425664,15.287941553237168,0.822081866219557,0.469,130.0,0.688371478291517,6612.0,1.9661222020568663
43,Texas,25208897.0,51563.0,25809.0,7.678846513177899,16.939328999598832,0.8706098089099257,0.474,165.0,0.6545308190199675,6612.0,2.49546279491833
44,Iowa,3047646.0,51129.0,26545.0,5.551142005958292,11.834379714704397,0.8077775437173478,0.431,17.0,0.5578075668893303,6612.0,0.2571082879612825
45,Louisiana,4529605.0,44673.0,24264.0,8.34117896058211,18.1301460061087,0.8117387719238212,0.473,13.0,0.28700074289038446,6612.0,0.19661222020568664
46,Pennsylvania,12699589.0,52267.0,28190.0,8.455969398324898,12.633983666715514,0.7727994976845314,0.46,36.0,0.2834737407643665,6612.0,0.5444646098003629
47,Alabama,4777326.0,43160.0,23587.0,10.188838185118993,17.631034599690288,0.8287405967271231,0.47100000000000003,9.0,0.1883899068223521,6612.0,0.13611615245009073
48,Georgia,9714569.0,49604.0,25309.0,10.558300070962476,16.936129641984117,0.845041401219138,0.469,11.0,0.11323199207293705,6612.0,0.16636418632788869
49,Mississippi,2967620.0,38882.0,20670.0,10.512383776998734,21.570551485702346,0.8425917064853317,0.47,2.0,0.06739407336518827,6612.0,0.030248033877797946
